Section,Page Title,Page Slug,Docs URL,Page Source (.md),OpenAPI / Spec Filename,OpenAPI / Spec Repo Path,Spec Resolve Status,operationId,HTTP Method,API Path,OpenAPI Version,Spec Title,Hidden,Deprecated,Spec File mtime (UTC),Spec Git Last Commit (ISO)
ParTner integration,Send OTP to Signatory Email API,send-otp-to-signatory-email-api,https://docs.payu.in/reference/send-otp-to-signatory-email-api,reference/ParTner integration/onboarding-and-kyc-apis/e-sign-flow-apis/send-otp-to-signatory-email-api.md,Send_OTP_To_Signatory_Email_API.json,reference/Send_OTP_To_Signatory_Email_API.json,found,SendOtpToSignatoryEmail,POST,/v3/merchants/{merchant_uuid}/agreements/{agreement_uuid}/send_signatory_otp,3.1.0,Send OTP to Signatory Email API,FALSE,,2026-08-05T06:27:18.713504+00:00,2026-05-19T06:02:02+00:00
ParTner integration,Update Merchant Details API,update_merchant_details_api,https://docs.payu.in/reference/update_merchant_details_api,reference/ParTner integration/onboarding-and-kyc-apis/onboarding-apis/update_merchant_details_api.md,payu_merchant_api_final.json,reference/payu_merchant_api_final.json,found,updateMerchantById,PUT,/api/v1/merchants/{{product_account_uuid}}/update/,3.0.0,Create Merchant API,FALSE,,2026-08-05T06:27:18.737512+00:00,2026-05-19T05:54:39+00:00
payment links,Create a Payment Link API,create-payment-links,https://docs.payu.in/reference/create-payment-links,reference/payment links/manage-payment-links/create-payment-links.md,payment-link-33.json,reference/payment-link-33.json,found,CreatePaymentLinkAPI,POST,/payment-links,3.1.0,Payment Link,FALSE,FALSE,2026-08-05T06:27:18.721507+00:00,2025-04-29T06:52:31+00:00
payment links,Get Transaction Details API for Payment Links,get-transaction-details-api,https://docs.payu.in/reference/get-transaction-details-api,reference/payment links/manage-payment-links/get-transaction-details-api.md,get-transaction-details-6.json,reference/get-transaction-details-6.json,found,GetTransactionDetailsAPI,GET,/payment-links/{invoiceId}/txns,3.1.0,Get Transaction Details,FALSE,FALSE,2026-08-05T06:27:18.701500+00:00,2026-05-04T05:09:57+00:00
payment links,get-token-api-for-payment-links,get-token-api-for-payment-links,https://docs.payu.in/reference/get-token-api-for-payment-links,reference/payment links/get-token-api-for-payment-links.md,PayU_OAuth2_Collection.json,reference/PayU_OAuth2_Collection.json,found,getAccessToken,POST,/oauth/token,3.0.0,Get Token API - Payment Links,FALSE,,2026-08-05T06:27:18.705501+00:00,2026-05-22T06:11:29+00:00
payment links,Share Payment Link API,share_payment_link_api,https://docs.payu.in/reference/share_payment_link_api,reference/payment links/manage-payment-links/share_payment_link_api.md,payment-link-4.json,reference/payment-link-4.json,found,SharePaymentLinkAPI,POST,/payment-links/,3.1.0,Payment Link,FALSE,FALSE,2026-08-05T06:27:18.721507+00:00,2025-04-29T06:52:32+00:00
payouts,Bulk Process File API,bulk-process-file-api,https://docs.payu.in/reference/bulk-process-file-api,reference/payouts/bulk-smart-send/bulk-process-file-api.md,new-payouts-api-collection-2.json,reference/new-payouts-api-collection-2.json,found,BulkProcessFileAPI,PUT,/v2/smartSend/bulkUpload/transfers/,3.1.0,New Payouts API Collection,FALSE,FALSE,2026-08-05T06:27:18.709503+00:00,2025-04-29T06:52:49+00:00
payouts,Bulk Upload Status API,bulk-upload-status-api,https://docs.payu.in/reference/bulk-upload-status-api,reference/payouts/bulk-smart-send/bulk-upload-status-api.md,new-payouts-api-collection-2.json,reference/new-payouts-api-collection-2.json,found,BulkUploadStatusAPI,GET,/v2/bulkUpload/transfers/,3.1.0,New Payouts API Collection,FALSE,FALSE,2026-08-05T06:27:18.709503+00:00,2025-04-29T06:52:49+00:00
payouts,Cancel Smart Send API,cancel-smartsend-api,https://docs.payu.in/reference/cancel-smartsend-api,reference/payouts/smart-send-apis/cancel-smartsend-api.md,new-payouts-api-collection-1.json,reference/new-payouts-api-collection-1.json,found,CancelSmartSendAPI,POST,/smartPay/cancel,3.1.0,New Payouts API Collection,FALSE,FALSE,2026-08-05T06:27:18.709503+00:00,2025-04-29T06:52:49+00:00
payouts,Cancel Transfer API,cancel-transfer-api,https://docs.payu.in/reference/cancel-transfer-api,reference/payouts/payouts-initiation-and-tracking/cancel-transfer-api.md,payout-for-merchants-20.json,reference/payout-for-merchants-20.json,found,PayoutCancelAPI,POST,/payment/cancel,3.1.0,Payout For Merchants,FALSE,FALSE,2026-08-05T06:27:18.721507+00:00,2025-04-29T06:52:47+00:00
payouts,Check Transfer Status API,check-transfer-status-api,https://docs.payu.in/reference/check-transfer-status-api,reference/payouts/payouts-initiation-and-tracking/check-transfer-status-api.md,payouts-api-7.json,reference/payouts-api-7.json,found,CheckTransferStatusAPI,POST,/payment/listTransactions,3.1.0,Payouts API,FALSE,FALSE,2026-08-05T06:27:18.725508+00:00,2025-04-29T06:52:47+00:00
payouts,Create Smart Send Link API,create-smart-send-link-api,https://docs.payu.in/reference/create-smart-send-link-api,reference/payouts/smart-send-apis/create-smart-send-link-api.md,new-payouts-api-collection-5.json,reference/new-payouts-api-collection-5.json,found,CreateSmartSendLinkAPI,POST,/v2/smartSend/link,3.1.0,New Payouts API Collection,FALSE,FALSE,2026-08-05T06:27:18.709503+00:00,2025-04-29T06:52:48+00:00
payouts,Disable Queued Payouts API,disable-queued-payouts-api,https://docs.payu.in/reference/disable-queued-payouts-api,reference/payouts/payouts-initiation-and-tracking/disable-queued-payouts-api.md,payouts-api-7.json,reference/payouts-api-7.json,found,DisableQueuedPayoutsAPI,POST,/setQueueTxnFlag,3.1.0,Payouts API,FALSE,FALSE,2026-08-05T06:27:18.725508+00:00,2025-04-29T06:52:47+00:00
payouts,Extend Expiry Date API,extend-expiry-date-api,https://docs.payu.in/reference/extend-expiry-date-api,reference/payouts/smart-send-apis/extend-expiry-date-api.md,extend-expiry-date-api-2.json,reference/extend-expiry-date-api-2.json,found,ExtendexpirydateApi,PUT,/extendExpiry,3.1.0,Extend expiry date API,FALSE,FALSE,2026-08-05T06:27:18.749516+00:00,2025-04-29T06:52:48+00:00
payouts,Generate Token using Private Client ID,generate-token-using-private-client-id,https://docs.payu.in/reference/generate-token-using-private-client-id,reference/payouts/authentication-for-payouts/generate-token-using-private-client-id.md,payout-for-merchants-13.json,reference/payout-for-merchants-13.json,found,GenerateTokenusingPrivateClientID,POST,/token,3.1.0,Payout For Merchants,FALSE,FALSE,2026-08-05T06:27:18.721507+00:00,2025-04-29T06:52:45+00:00
